公告縣市,地區,溪流名稱,封溪範圍,封溪時間,公告字號
嘉義縣,東石鄉、朴子市、六腳鄉,朴子溪,朴子溪港口大橋至出海口全年禁止以任何方式採捕8公分以上鰻魚,103/01/20起,103年1月20日府農漁字第10300072271號
嘉義縣,大埔鄉,曾文溪支流深坑仔溪,大埔鄉曾文溪支流自深坑仔溪水源頭(23.228776N，120.527516E)起至曾文溪入溪口(23.238510N，120.516994E)，禁漁期間嚴禁以任何方式（含垂釣、捕撈及徒手捕抓等）採捕水產動物。,110/08/06起,110年8月6日府農漁字第11001740001號
臺南市,南化區,後掘溪,臺南市南化區關山里轄內後掘溪及其支流,101/12/26起,府農漁字第1011096397B號
臺南市,,二仁溪及鹽水溪,「二仁溪二層行橋至出海口」及「鹽水溪太平橋至鹽水溪橋」（包含太平橋橋面，不包含鹽水橋橋面），禁止使用網具（流刺網及投網）採捕魚類。,101/11/23起,府農漁字第1010993117B號
臺南市,,嘉南大圳,嘉南大圳仁愛橋至安順橋間水域禁止採捕水產動物,104/12/8起,府農漁字第1041203407A號
高雄市,茂林區,濁口溪,本市茂林區茂林國家風景區外濁口溪段主支流(東經120度42分44.7 秒，北緯22度56分24秒以及東經120度44分22.6秒北緯22度53分44.3秒以上流域)，嚴禁以任何方式採捕水產動物。,112/6/20起,高市府海洋行字第11231934001號
高雄市,鳳山區,二仁溪,二仁溪自大湖抽水站攔河堰起至出海口河段禁止使用網漁具採捕水產動植物,104/01/05起,高市府海三字第10333601101號
高雄市,,高屏溪,萬大橋至出海口止水域禁止採捕8公分以上鰻魚,104/02/07起,高市府海三字第10231568200號
屏東縣,,高屏溪,萬大橋至出海口止水域禁止採捕8公分以上鰻魚,104/02/07起,屏府農漁字第10219502101號
宜蘭縣,大同鄉,羅葉尾溪,羅葉尾溪全流域(含支流),107/04/27起,府農漁字第1070003622B號
宜蘭縣,蘇澳鎮、南澳鄉,新城溪(含東武荖坑及武荖坑溪兩支流),蘇澳鎮新城溪流域（含東武荖坑溪及武荖坑溪兩支流）。禁漁期間嚴禁以任何方式採捕水產動植物(含垂釣、捕撈、徒手捕捉等),自106/1/13起,府農漁字第1060000128B號
宜蘭縣,頭城鎮,大溪川,大溪川全流域，禁漁期間嚴禁以任何方式採捕水產動植物(含垂釣、捕撈、徒手捕捉等),自115/4/28起,府農漁字第1150003989B號
宜蘭縣,全縣,全縣境內河川全流域,全年禁捕8公分以上之鰻魚,自104/9/15起,府農漁字第1040007892B號
花蓮縣,秀林鄉,立霧溪,立霧溪河段(錦文橋至出海口)禁止以任何方式採捕鰻魚,102/06/04起,102年6月4日。府農漁字第1020100215B號
花蓮縣,豐濱鄉,大不岸溪、家塱溪,"家塱溪:上游支流起點A (23°40'12.90""N，121°31'44.97""E)、上游支流起點B (23°40'07.35""N，121°31'31.29""E)、。上游支流起點C (23°39'51.76""N，121°31'36.53""E)至河口迄點E (23°39'23.48""N，121°32'34.50""E)。大不岸溪:上游支流起點D (23°39'36.78""N，121°31'24.96""E)至。河口迄點E (23°39'23.48""N，121°32'34.50""E)",113年7月11起至115年6月30日止,113年7月11日府農漁字第1130136251B號
臺東縣,,太麻里溪、金崙溪,太麻里溪及金崙溪全流域(含出海口)，每年4月1日-5月31日禁止以任何方式採捕日本禿頭鯊,108/10/22起,108年10月22日。府農漁字第1080221500B號
臺東縣,,知本溪,知本溪河段(自溫泉橋以下)，禁止以任何方式採捕鰻魚,102/05/03起,102年5月3日。府農漁字第1020078840B號

